Source,Target,Type,Weight
Kristof Calvo,Guillaume Defossé,Undirected,2
Katleen Bury,Barbara Pas,Undirected,2
Séverine de Laveleye,Sarah Schlitz,Undirected,1
Robby De Caluwé,Frieda Gijbels,Undirected,1
Marie Christine Marghem,Denis Ducarme,Undirected,1
Barbara Pas,Theo Francken MP,Undirected,1
Sander Loones,Robby De Caluwé,Undirected,1
Darya Safai MP,Michael Freilich,Undirected,1
Theo Francken MP,Barbara Pas,Undirected,1
Koen Geens,Nahima Lanjri,Undirected,1
Leslie Leoni,Christophe Lacroix,Undirected,1
Sophie Rohonyi,Gilles Vanden Burre,Undirected,1
Kristof Calvo,Gilles Vanden Burre,Undirected,1
Ben Segers,Valerie Van Peel,Undirected,1
Joris Vandenbroucke,Theo Francken MP,Undirected,1
Wouter Vermeersch,Barbara Pas,Undirected,1
Denis Ducarme,Marie Christine Marghem,Undirected,1
Robby De Caluwé,Sander Loones,Undirected,1
Catherine Fonck,kathleen depoorter,Undirected,1
Wouter De Vriendt,Kim Buyst,Undirected,1
Michael Freilich,Darya Safai MP,Undirected,1
kathleen depoorter,Catherine Fonck,Undirected,1
Séverine de Laveleye,Guillaume Defossé,Undirected,1
Els Van Hoof,NawalFarih,Undirected,1
Nahima Lanjri,André Flahaut,Undirected,1
Albert Vicaire,Nabil Boukili,Undirected,1
Ben Segers,Theo Francken MP,Undirected,1
Melissa Depraetere,Servais Verherstraeten,Undirected,1
Ahmed Laaouej,André Flahaut,Undirected,1
Catherine Fonck,Sander Loones,Undirected,1
Valerie Van Peel,Ben Segers,Undirected,1
Yngvild Ingels,Ben Segers,Undirected,1
Christophe Lacroix,Leslie Leoni,Undirected,1
Wouter Beke,Franky Demon,Undirected,1
Franky Demon,Wouter Beke,Undirected,1
Theo Francken MP,Ben Segers,Undirected,1
Nathalie Muylle,NawalFarih,Undirected,1
Theo Francken MP,Joris Vandenbroucke,Undirected,1
Vicky Reynaert,Melissa Depraetere,Undirected,1
Claire Hugon,Sarah Schlitz,Undirected,1
